sizes	SN	SP	ACC	MCC	Recall	Precision	F1-score	AUC	Cutoff
15	0.7416845493562232	0.5757510729613734	0.6587178111587983	0.32191104863834896	0.7416845493562232	0.636128988509393	0.6848563515906985	0.7248	0.5
17	0.746244635193133	0.581598712446352	0.6639216738197425	0.3323832123605804	0.746244635193133	0.6407427825119291	0.6894804792966724	0.7302	0.5
19	0.7529506437768239	0.5832081545064378	0.668079399141631	0.3411189585848737	0.7529506437768239	0.6436908385842475	0.6940412858900231	0.7335	0.5
21	0.7506974248927039	0.5912017167381973	0.6709495708154506	0.34635079831310744	0.7506974248927039	0.6474572052007601	0.6952504479010904	0.7358	0.5
23	0.7540772532188841	0.5912017167381974	0.6726394849785408	0.34995438515634864	0.7540772532188841	0.6484608965237817	0.6972907457284456	0.7376	0.5
25	0.7541845493562231	0.5925965665236052	0.6733905579399141	0.351405619785486	0.7541845493562231	0.6492665198859651	0.6978013568228947	0.7391	0.5
27	0.7561158798283262	0.5927575107296137	0.67443669527897	0.35362554518138933	0.7561158798283262	0.649941219558533	0.6990191100936196	0.7419	0.5
29	0.7505901287553648	0.5938304721030042	0.6722103004291846	0.3487387317987417	0.7505901287553648	0.6488856934343141	0.6960357254660827	0.7411	0.5
31	0.7515021459227469	0.595225321888412	0.6733637339055794	0.35104850030723683	0.7515021459227469	0.6499236708142085	0.6970294950257973	0.7423	0.5
33	0.7510729613733906	0.5989270386266095	0.675	0.35413366625913056	0.7510729613733906	0.6519069157921883	0.6979756933178859	0.7424	0.5
35	0.7480150214592275	0.596942060085837	0.6724785407725322	0.3489714958576548	0.7480150214592275	0.6498517928979389	0.6954792753641392	0.7411	0.5
37	0.7456008583690987	0.6003755364806868	0.6729881974248927	0.34969546390232437	0.7456008583690987	0.6510597806943798	0.6951221200948117	0.7430	0.5
39	0.7517167381974248	0.5989270386266095	0.6753218884120172	0.3548138022074629	0.7517167381974248	0.6520838891490154	0.6983626860398895	0.7434	0.5
41	0.7495171673819743	0.6003218884120172	0.6749195278969957	0.3538081417732991	0.7495171673819743	0.6522029052998606	0.6974785425107359	0.7419	0.5
