AAindexName,5-fold-Mean-AUC
NADH010105,0.675674174
FAUJ880101,0.675666306
ISOY800104,0.675375864
FAUJ880103,0.675359926
GEIM800102,0.675341579
RICJ880111,0.675324676
TAKK010101,0.675198899
NAKH920102,0.675143522
OOBM770104,0.675134142
TANS770110,0.675033787
KANM800104,0.674658817
QIAN880112,0.674585675
WOLS870102,0.67437313
ROBB760113,0.674309329
FAUJ880107,0.674200408
QIAN880127,0.674194572
QIAN880135,0.674101295
HUTJ700101,0.673962829
RACS820105,0.673880975
ISOY800102,0.673433791
NAKH900103,0.673311924
FUKS010107,0.673260238
MUNV940105,0.673125309
PTIO830102,0.673116089
CHOP780204,0.673008392
TANS770107,0.672771663
MCMT640101,0.672726765
QIAN880129,0.672673718
QIAN880107,0.672658271
TANS770103,0.672628616
FAUJ880113,0.672597884
NAGK730103,0.672592718
LEVM760104,0.672425933
MAXF760106,0.672387779
PALJ810105,0.67230549
JOND750102,0.67221192
MONM990201,0.672165899
QIAN880115,0.672151872
WERD780104,0.672116482
KARP850101,0.671994577
FASG760102,0.671936919
GEIM800106,0.671263874
LEVM760103,0.6709981
LEVM780105,0.670904052
TSAJ990101,0.670877854
QIAN880121,0.670867061
CHOP780101,0.670831981
BROC820102,0.670759334
FINA910101,0.670714153
QIAN880122,0.670706113
FUKS010106,0.67054075
PALJ810116,0.670033891
NAKH900101,0.670033463
FAUJ880106,0.669909126
FUKS010105,0.66965784
WILM950102,0.669598226
BURA740102,0.669511096
ISOY800105,0.669174394
PRAM820103,0.669091505
YUTK870104,0.669067969
SIMZ760101,0.669051762
CHOP780209,0.668883729
YUTK870102,0.6688801
QIAN880108,0.668795169
GEOR030109,0.668682461
RACS820104,0.668615938
GEOR030106,0.668547166
CHOP780214,0.668542846
PALJ810112,0.668016502
RACS820110,0.66775962
CHAM820102,0.667758863
ROBB790101,0.667751344
OOBM850102,0.667668126
SNEP660104,0.667597713
CRAJ730102,0.667371486
BLAM930101,0.667101407
AURR980101,0.666981804
ROSG850101,0.666966877
KUMS000101,0.66689623
FAUJ880102,0.666649829
CHOP780211,0.666520684
GEIM800105,0.666388172
CHOP780206,0.666314745
ROBB760108,0.666263547
PONP800104,0.666225443
NAKH900107,0.666115616
AURR980104,0.666073798
QIAN880101,0.665996977
CHAM820101,0.665666659
CEDJ970105,0.665545208
CHOP780210,0.665498196
MUNV940101,0.665438848
RICJ880114,0.665338993
RACS820114,0.665296619
ZIMJ680101,0.66524437
NAKH900109,0.665229939
AURR980118,0.665008341
PALJ810110,0.665005049
RICJ880104,0.664963416
BULH740102,0.664898915
CHOP780212,0.66480566
ROBB760110,0.66478529
HOPT810101,0.664657888
KOEP990101,0.664577361
TANS770105,0.664545773
FUKS010109,0.664533619
CHOP780215,0.664250596
FASG760101,0.664221129
ROBB760102,0.663984848
PALJ810103,0.663834676
QIAN880136,0.663828547
RICJ880105,0.663821548
COHE430101,0.663800425
NADH010107,0.663795402
GEOR030103,0.663641983
GEIM800103,0.663588811
OOBM770105,0.663581005
PALJ810115,0.66345209
RACS820111,0.663366403
KANM800101,0.663134887
PRAM900102,0.662994523
ISOY800101,0.662857526
VASM830101,0.662742107
PALJ810108,0.662680663
OOBM850101,0.662562628
GEOR030102,0.662452212
NAKH900108,0.662302787
GEOR030108,0.661877576
PALJ810107,0.661824368
PALJ810102,0.661809445
SUYM030101,0.661788755
JOND920102,0.661731221
CRAJ730103,0.661665379
BUNA790101,0.661624577
AURR980106,0.661565527
WILM950104,0.66119654
MAXF760101,0.661192625
GEIM800104,0.661109839
GRAR740101,0.661062534
LEVM780101,0.661015204
SUEM840102,0.660973858
PALJ810109,0.660954115
QIAN880139,0.660941646
FUKS010110,0.66094001
MAXF760104,0.660916921
LEVM780104,0.660675756
JUNJ780101,0.660626374
GEOR030107,0.660426471
QIAN880111,0.660354072
QIAN880117,0.660276885
FASG760105,0.660259625
FUKS010112,0.660201978
KANM800103,0.660184592
QIAN880138,0.659852636
AURR980105,0.659815818
LEWP710101,0.659711368
QIAN880109,0.659657671
OOBM850104,0.65953306
JUKT750101,0.659417874
AURR980115,0.659397213
QIAN880110,0.659284319
RICJ880108,0.659262616
GEOR030101,0.659237747
NAKH920104,0.659163748
ISOY800108,0.659108947
QIAN880116,0.659023089
QIAN880105,0.658981289
PONJ960101,0.658963923
TANS770101,0.658788497
VASM830102,0.658565852
NAKH920103,0.658398846
MUNV940102,0.658290798
QIAN880104,0.658240701
QIAN880137,0.658174542
QIAN880125,0.658159525
AURR980108,0.657746697
YUTK870103,0.657460214
AURR980103,0.657305402
RACS820108,0.657189579
FAUJ880110,0.65717554
CEDJ970101,0.657140107
CRAJ730101,0.657074483
ROBB760111,0.656975624
RACS820112,0.656879681
GEIM800101,0.656760921
AURR980109,0.656683492
PALJ810114,0.656607248
RICJ880107,0.656489924
AURR980111,0.656487107
AURR980112,0.65645184
NAKH920101,0.656174862
ISOY800106,0.656091072
NAKH920107,0.655876072
VELV850101,0.655846619
RICJ880109,0.655676015
VASM830103,0.65562216
KUMS000103,0.655615104
RICJ880115,0.655609312
NAKH900102,0.655501549
ISOY800107,0.655436526
ANDN920101,0.655432195
RACS820107,0.655422405
KUMS000104,0.655405158
RICJ880110,0.655293264
ROBB760101,0.654942671
QIAN880118,0.654721896
COSI940101,0.654719834
FUKS010111,0.654388454
CEDJ970103,0.654266703
FASG760104,0.654146863
KIMC930101,0.654130261
ROBB760107,0.654021247
CHOP780201,0.653800093
DAYM780201,0.65377854
PALJ810111,0.653568035
BURA740101,0.653535706
CHAM830106,0.653503543
LEVM760106,0.653351811
GOLD730101,0.653221072
PALJ810101,0.653145032
CHAM830102,0.652905959
QIAN880123,0.652697012
RICJ880117,0.652558988
CEDJ970102,0.652468125
QIAN880103,0.652461726
QIAN880130,0.652360502
RACS820106,0.65233804
AURR980107,0.652304652
PALJ810113,0.652282232
CEDJ970104,0.652193787
MAXF760105,0.652131585
KUMS000102,0.652056152
GEOR030104,0.652024377
ROBB760109,0.651950946
WERD780102,0.65135728
BEGF750101,0.650981354
LIFS790102,0.650761073
RICJ880106,0.650713885
RACS820102,0.65017387
QIAN880114,0.649786208
RACS820101,0.649622987
BUNA790102,0.649397995
MAXF760103,0.64890464
RACS820113,0.648752308
TANS770102,0.646838828
QIAN880102,0.646306646
RICJ880103,0.645752618
ROSM880103,0.644898937
ONEK900101,0.644572659
JOND920101,0.64400565
NAGK730101,0.643764873
FAUJ880109,0.643755691
RICJ880116,0.643708627
QIAN880126,0.643335201
DAYM780101,0.642459996
FAUJ880111,0.642351648
QIAN880124,0.642132142
AURR980110,0.641638163
TANS770108,0.640828001
QIAN880106,0.640353864
PTIO830101,0.637423161
KHAG800101,0.637336431
BEGF750103,0.636628915
CHAM810101,0.634413711
NOZY710101,0.633488485
QIAN880128,0.633335372
FAUJ880108,0.629707965
RICJ880102,0.62864426
BEGF750102,0.628204706
MONM990101,0.62704552
RICJ880101,0.626754454
BUNA790103,0.625019825
FINA770101,0.62245471
CHAM830103,0.592744724
VENT840101,0.592719757
CHAM830108,0.592539247
CHAM830105,0.589439461
CHAM830104,0.587100499
CHAM830107,0.582015536
FAUJ880112,0.579958008
RACS820109,0.576387629
FAUJ880105,0.569724487
