Number,5-fold-Mean-AUC,Fold1,Fold2,Fold3,Fold4,Fold5
3,0.7469126570550102,0.7482310384009653,0.7458620976970473,0.7452215371668294,0.7488732538474646,0.7467911173303985
4,0.7467562384395697,0.7474756050949547,0.7461471750147359,0.7475370168795705,0.7481065599154524,0.7452179754991803
10,0.7454656413656903,0.7473487161879018,0.7447923742033377,0.7457035495220027,0.7458718113360903,0.7441655566735434
12,0.744908820126348,0.7445679891414466,0.7470266550889682,0.7452944973889738,0.7463061908835122,0.7420076897483836
7,0.7445810465850761,0.744918795416659,0.7448160467014497,0.7463252943736299,0.7439490864286504,0.7433336734306214
14,0.7445099462649445,0.7468025218621636,0.7435819108728287,0.7455692134916834,0.746062918190149,0.7410393838415701
11,0.7443739341825059,0.7430725564225718,0.7463775321658164,0.7453039232164895,0.744653541117906,0.742999740106191
8,0.7443218234563959,0.7448296098196687,0.7453406191862071,0.7439942008855385,0.743815541880031,0.7441927188864227
15,0.7442812815394767,0.7444201259693493,0.7436408402830224,0.7459156666175468,0.7448960583060105,0.7429265640254011
6,0.744248413803146,0.7455796466595443,0.7437318606784985,0.7435566554113172,0.7455478794622299,0.7432699231773472
5,0.7441513573705888,0.7434545182956032,0.7422754983744406,0.7452372588715026,0.7464399153143363,0.7439226077681482
18,0.7437990330864942,0.745541007962018,0.7413934639729043,0.7432349540767927,0.7462135875246367,0.7431510570166148
9,0.7437683708812505,0.7446136432449483,0.7449632982740518,0.744625551446886,0.7430171886800272,0.7419703821791708
17,0.7431262118067291,0.7417445580596438,0.7418470549397668,0.745734956954908,0.7456621046620863,0.7413140639678388
43,0.7431123588481067,0.7443092825549374,0.7441824296243253,0.7421963142280205,0.7451531459526791,0.7401998735931772
61,0.7430793832831634,0.7444007706441452,0.742509381216729,0.7420597476583655,0.7447134059155631,0.7422072870424947
13,0.7426721600859502,0.7411445070018788,0.7411583579316252,0.7433533525437934,0.7452332654865625,0.7430196710544493
21,0.742623936338774,0.7429652746758091,0.7414460975059405,0.7444112038120061,0.7454648458366335,0.7393092408222661
16,0.7425494152280261,0.7430436313640885,0.7439837317412367,0.7430104251091381,0.7438637862872775,0.7394499806590653
58,0.7425341137769417,0.7426818882508426,0.7458584281000755,0.7404986939112895,0.742201458859069,0.7417937378543535
20,0.7424881608400721,0.7413865564962516,0.7426701599311094,0.7418563368615189,0.7441367755208237,0.7429186492084032
48,0.7423814868928027,0.7427117846732303,0.7425927026538526,0.7440697154349869,0.7428624899841589,0.7401272731354418
56,0.7423732302071968,0.7412812534537383,0.7411460899652784,0.7439648800862053,0.7459444837467074,0.7401415917589198
62,0.7423163011271652,0.7431224917225404,0.7427329028440384,0.7415683814285583,0.743886127657076,0.740896413465435
33,0.7423110826938782,0.7424033586453977,0.7458570609953215,0.7441827893887343,0.7396097880095415,0.7400131198884674
22,0.7422754682665188,0.7425790675827516,0.7405107460189909,0.7430467253380058,0.7458485705552691,0.739866983585533
47,0.7422410871448571,0.7423192817030153,0.741148392457496,0.7435471216544789,0.7433650089106449,0.7414458456708541
26,0.7422041860701298,0.7426202246311407,0.7409421754982592,0.743047372913942,0.7448158668192452,0.7402219631278897
44,0.7421992770692555,0.7419145467428945,0.7412435861201163,0.7413968457583489,0.746496650161635,0.7403106450547073
28,0.7421963291532053,0.7410048824347473,0.7429544097906574,0.7460202501312421,0.7436119871774208,0.7379333578165006
46,0.7421817919883629,0.7431359109349961,0.7435224418160218,0.7411702661335628,0.7426769594784394,0.7409262379349407
40,0.7421447012025782,0.7433322343729853,0.7410276914982777,0.7427910047960913,0.7443017634787894,0.7398100688560297
27,0.7421080371312563,0.7455792149422535,0.7427026106808008,0.7405692796883346,0.7418112224046308,0.7405304970850449
35,0.7420321437917002,0.744703368488552,0.742153790074877,0.7409281446863085,0.7442468274535357,0.7386867764418206
41,0.7420110685305127,0.7413764111399179,0.7421718862246496,0.7428817014035993,0.7428523086513841,0.7413613370111809
34,0.741912181696669,0.7414349088328206,0.7422173604459468,0.7422336577736743,0.7430680953439002,0.7411410532635525
55,0.7418559159839672,0.7428411199782645,0.7418195689389194,0.7438996188224134,0.7430630226657333,0.7381294653958445
37,0.7418285049798631,0.7417563583322588,0.7403329504480649,0.7410636319627364,0.7447545989403932,0.7417662158770654
25,0.7417598079694554,0.7407061340695169,0.7411958453830426,0.7421574236954079,0.7437118218009174,0.741339823099523
63,0.7417115910759431,0.7431505173700013,0.7397399147962755,0.7415134454033045,0.7442347753458343,0.7404231793618412
32,0.7416873745735627,0.7432149511756525,0.7440505759684283,0.7410902905054431,0.7428400406850374,0.7379043248286946
51,0.7416614514691812,0.7434400197899207,0.741220417292177,0.7413356498323787,0.7436745142317045,0.7391633563544181
50,0.7416363396306941,0.742027980461051,0.7431548345429093,0.7413538539114737,0.7429737651158614,0.7390696737023155
59,0.7416349089266693,0.7421748722692443,0.7401718839221574,0.739520062765938,0.7446710256681832,0.7422051644324817
19,0.7415181811019003,0.7451250843287776,0.7424195480438027,0.7397967215964559,0.7419461700344452,0.7388888561103538
57,0.7414652936989694,0.7428450773867634,0.7415593513418925,0.7411024145660263,0.7426071651830942,0.7397922964942253
2,0.7413951134299863,0.7406177039777855,0.7426055102668128,0.7423967749567131,0.7425998259891506,0.7393355036241228
45,0.7413658857182316,0.7415410753099155,0.7416558761328261,0.7425318664922913,0.7415991412855275,0.7398022619683546
39,0.7412903919621184,0.7410762956699332,0.7420491705847408,0.7413416578980088,0.7455189184273057,0.7370097706257253
60,0.7412419634255356,0.7412606389531028,0.7402058097059256,0.7451294374781263,0.741597882110096,0.7387903885916115
24,0.7412385293930801,0.7406324183421136,0.7429173540565308,0.7409885131541379,0.7420995016255595,0.7399289350167622
53,0.7412163116863414,0.7418662663592073,0.7432072522173,0.7411485723397006,0.7434910343831163,0.7370847095521191
49,0.741210551171043,0.7403540686188731,0.7401833963832453,0.7441606279011401,0.7425317585629685,0.7393677744916097
52,0.741201077199445,0.7438143186810403,0.7406691143118311,0.7405801085970454,0.7437590228913776,0.7376060801336366
64,0.741073202873422,0.7387876903585442,0.7401551189006981,0.7407594511549301,0.7453111185046695,0.7408093504784579
23,0.7410366436269284,0.7408268350287351,0.7421410184383577,0.7429935881347971,0.7432933438403728,0.7365719733164175
31,0.7409700356829106,0.7413651145374753,0.7409222445500009,0.740136555057194,0.7430272261070383,0.7399312375089797
29,0.7407127887930652,0.7427290533648622,0.737529594220284,0.7423764122911639,0.7423548624030651,0.7390476561204847
30,0.7405897261161695,0.7416820310053602,0.7400048812835013,0.7388476271090829,0.7430831334961963,0.7398492472001694
42,0.7405169981291346,0.7414040410465287,0.7399119181602165,0.7410305336371088,0.7442689889411299,0.73651487870471
54,0.7403280235894514,0.7406005432154763,0.7390173999336882,0.7419241884290557,0.740379899703439,0.7403157896857558
36,0.7401546479712613,0.741881412440826,0.741463042409604,0.7408511910792241,0.7407882323076498,0.7363172960912892
